Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,1243,429,-22,-32,500,1589,760,-6,543,613,0,-3540000,0,743,-0.014711211,0.5410537
1,55,-947,-1,966,-896,886,105,10,123,660,0,-24728000,0,950,-0.041326303,0.544296747
1,1736,1134,0,291,693,1043,23,-3,-358,1185,0,-4350800,0,1042,-0.033239415,0.429751751
1,13517,7084,0,6343,13280,331,116,0,-290,165,3,-896100,0,237,-0.026251453,0.772594285
1,649,304,305,-140,120,-176,101,0,355,486,0,-7745000,0,529,0.000381243,0.543186343
1,-253,10,0,874,695,678,266,21,-1132,-992,0,-6483800,0,-949,-0.062483918,0.473025131
1,528,-1195,-126,696,443,-42,218,0,1452,475,0,-103160000,0,85,-0.061274172,0.553810114
1,199,-28,-3,197,-988,44,567,3,466,1206,0,-17389000,-43627785,1187,-0.019026796,0.364858578
1,-267,442,-30,-760,-699,511,464,3,213,452,0,-1068400,0,432,-0.055267785,0.586750939
1,98,-1068,-4,902,68,-705,38,-2,31,154,0,-1448000,0,30,-0.019534932,0.773227192
1,-685,47,0,280,-773,-575,-222,-1,-739,88,0,-443700,0,88,-0.016789459,0.137928592
1,-3008,-52,2,-1912,-3175,-3775,-206,-2,596,93,0,-1166700,0,167,-0.029352227,0.748264893
1,935,379,-53,524,529,2401,319,5,238,360,0,-4889000,0,406,-0.053546335,0.738998595
1,-125,78,0,709,-347,783,1056,2,1430,-42,24,-1732300,0,222,-0.083148134,0.731780213
1,567,-97,0,507,168,289,295,-1,322,358,0,-10382000,0,399,-0.08981985,0.413664174
1,-1080,-451,0,-386,-1186,2536,99,1,128,113,0,-12149300,0,106,-0.031220435,0.784209168
1,3394,-1053,-1080,4173,20,-79,736,0,3974,268,2691,-8576900,55000000,3373,0.005616521,0.300527089
1,798,-456,-8,1069,220,466,20,-3,122,456,9,-523800,0,579,-0.026025852,0.355946907
1,-229,283,0,89,-341,-299,-534,0,-233,27,0,-2729000,0,112,-0.047889322,0.590014189
1,1066,152,-2,610,741,535,238,0,209,282,16,-703900,0,324,-0.128807747,0.609743797
1,3825,2143,0,523,3322,2316,128,-1,80,922,0,-10640300,0,503,-0.085890813,0.452142206
1,-235,-141,-7,-93,-615,-672,252,0,241,312,0,-2177000,0,380,-0.044753255,0.489769121
1,908,1598,0,-703,-82,156,146,-4,358,567,5,-282600,104000,990,0.002714011,0.354970033
1,494,-46,0,-16,-10,1448,110,-1,149,496,0,-570700,0,504,0.059050647,0.244378833
1,249,-310,0,236,-37,704,1035,-1,958,13425,9,-25566000,9800,287,0.025860051,0.06330447
1,2549,1272,0,-323,1757,776,692,-12,1072,204,690,-153200,800000,792,0.120920404,0.474876732
1,-123,-60,0,503,-241,148,99,-1,236,261,0,-15454000,0,118,-0.102598512,0.316945224
1,-72,270,0,-508,11,290,190,-5,73,-103,-190,-3393400,0,-82,-0.010312601,0.199806639
